"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5314","multiple elements click","chromium","Sat Dec 06 09:49:48 IST 2025","passed","Sat Dec 06 09:49:53 IST 2025","","wwe\checkboxexample.spec.js","",""
"","1531","drag and drop examples","Google Chrome","Sat Dec 06 09:50:49 IST 2025","passed","Sat Dec 06 09:50:50 IST 2025","","wwe\dragNdrop.spec.js","",""
"","1272","Login with valid credentials","Google Chrome","Sat Dec 06 09:50:08 IST 2025","passed","Sat Dec 06 09:50:09 IST 2025","","login.spec.js","",""
"","3259","drag and drop examples","chromium","Sat Dec 06 09:49:36 IST 2025","passed","Sat Dec 06 09:49:39 IST 2025","","wwe\dragNdrop.spec.js","",""
"","482","handling web tables","Google Chrome","Sat Dec 06 09:50:55 IST 2025","passed","Sat Dec 06 09:50:55 IST 2025","Automation - working with elements","wwe\tables.spec.js","",""
"","758","direct download and assert","Google Chrome","Sat Dec 06 09:52:11 IST 2025","passed","Sat Dec 06 09:52:12 IST 2025","File Upload and Download tests","wwe\uploadnddownload.spec.js","",""
"","5133","multiple check boxes 2","Google Chrome","Sat Dec 06 09:50:22 IST 2025","passed","Sat Dec 06 09:50:27 IST 2025","","wwe\checkboxexample.spec.js","",""
"","4252","drop down value","chromium","Sat Dec 06 09:49:44 IST 2025","passed","Sat Dec 06 09:49:48 IST 2025","","wwe\clickonhiddenelements.spec.js","",""
"","2146","radio button","Google Chrome","Sat Dec 06 09:50:33 IST 2025","failed","Sat Dec 06 09:50:35 IST 2025","","wwe\checkboxexample.spec.js","",""
"","30376","playwright test with links","chromium","Sat Dec 06 09:49:46 IST 2025","broken","Sat Dec 06 09:50:17 IST 2025","automation with  links","wwe\links.spec.js","",""
"","7825","Login with valid credentials","chromium","Sat Dec 06 09:49:35 IST 2025","passed","Sat Dec 06 09:49:43 IST 2025","","wwe\clickonhiddenelements.spec.js","",""
"","2040","","Google Chrome","Sat Dec 06 09:50:18 IST 2025","passed","Sat Dec 06 09:50:20 IST 2025","","wwe\checkboxexample.spec.js","",""
"","12171","Login with valid invalidusername and valid password","chromium","Sat Dec 06 09:49:54 IST 2025","failed","Sat Dec 06 09:50:06 IST 2025","","login.spec.js","",""
"","5199","multiple check boxes 2","chromium","Sat Dec 06 09:49:43 IST 2025","passed","Sat Dec 06 09:49:48 IST 2025","","wwe\checkboxexample.spec.js","",""
"","1876","multiple check boxes","Google Chrome","Sat Dec 06 09:50:20 IST 2025","passed","Sat Dec 06 09:50:22 IST 2025","","wwe\checkboxexample.spec.js","",""
"","4304","drop down value","Google Chrome","Sat Dec 06 09:50:43 IST 2025","passed","Sat Dec 06 09:50:48 IST 2025","","wwe\clickonhiddenelements.spec.js","",""
"","9588","playwright test case - simple alert","Google Chrome","Sat Dec 06 09:50:36 IST 2025","passed","Sat Dec 06 09:50:46 IST 2025","handling alerts","wwe\checkboxexample.spec.js","",""
"","420","handling web tables","chromium","Sat Dec 06 09:49:50 IST 2025","passed","Sat Dec 06 09:49:50 IST 2025","Automation - working with elements","wwe\tables.spec.js","",""
"","5089","multiple elements click","Google Chrome","Sat Dec 06 09:50:27 IST 2025","passed","Sat Dec 06 09:50:32 IST 2025","","wwe\checkboxexample.spec.js","",""
"","6172","Login with valid credentials","Google Chrome","Sat Dec 06 09:50:37 IST 2025","passed","Sat Dec 06 09:50:43 IST 2025","","wwe\clickonhiddenelements.spec.js","",""
"","2425","playwright test with iframes","Google Chrome","Sat Dec 06 09:50:50 IST 2025","passed","Sat Dec 06 09:50:53 IST 2025","automation with  iframes","wwe\iframes.spec.js","",""
"","1814","playwright test with shadowroots","chromium","Sat Dec 06 09:49:48 IST 2025","passed","Sat Dec 06 09:49:50 IST 2025","automation with  shadowdom","wwe\shadowdom.spec.js","",""
"","30968","download miltiple files and assert","Google Chrome","Sat Dec 06 09:51:39 IST 2025","broken","Sat Dec 06 09:52:10 IST 2025","File Upload and Download tests","wwe\uploadnddownload.spec.js","",""
"","4647","","chromium","Sat Dec 06 09:49:36 IST 2025","passed","Sat Dec 06 09:49:40 IST 2025","","wwe\checkboxexample.spec.js","",""
"","31398","File upload and download example","chromium","Sat Dec 06 09:49:50 IST 2025","broken","Sat Dec 06 09:50:22 IST 2025","File Upload and Download tests","wwe\uploadnddownload.spec.js","",""
"","3647","file upload test","chromium","Sat Dec 06 09:49:39 IST 2025","passed","Sat Dec 06 09:49:43 IST 2025","","wwe\fileupload.spec.js","",""
"","1928","playwright test with shadowroots","Google Chrome","Sat Dec 06 09:50:53 IST 2025","passed","Sat Dec 06 09:50:55 IST 2025","automation with  shadowdom","wwe\shadowdom.spec.js","",""
"","31689","download miltiple files and assert","chromium","Sat Dec 06 09:50:24 IST 2025","broken","Sat Dec 06 09:50:55 IST 2025","File Upload and Download tests","wwe\uploadnddownload.spec.js","",""
"","2161","radio button","chromium","Sat Dec 06 09:49:53 IST 2025","failed","Sat Dec 06 09:49:56 IST 2025","","wwe\checkboxexample.spec.js","",""
"","11769","Login with valid username and invalid password","Google Chrome","Sat Dec 06 09:50:09 IST 2025","failed","Sat Dec 06 09:50:21 IST 2025","","login.spec.js","",""
"","13665","playwright test case - prompt and","chromium","Sat Dec 06 09:50:34 IST 2025","passed","Sat Dec 06 09:50:48 IST 2025","handling alerts","wwe\checkboxexample.spec.js","",""
"","42327","File upload and download example","Google Chrome","Sat Dec 06 09:50:55 IST 2025","broken","Sat Dec 06 09:51:38 IST 2025","File Upload and Download tests","wwe\uploadnddownload.spec.js","",""
"","2264","multiple check boxes","chromium","Sat Dec 06 09:49:41 IST 2025","passed","Sat Dec 06 09:49:43 IST 2025","","wwe\checkboxexample.spec.js","",""
"","20294","playwright test case - prompt and","Google Chrome","Sat Dec 06 09:51:29 IST 2025","passed","Sat Dec 06 09:51:49 IST 2025","handling alerts","wwe\checkboxexample.spec.js","",""
"","3518","playwright test with iframes","chromium","Sat Dec 06 09:49:43 IST 2025","passed","Sat Dec 06 09:49:46 IST 2025","automation with  iframes","wwe\iframes.spec.js","",""
"","27480","playwright test with links","Google Chrome","Sat Dec 06 09:50:52 IST 2025","failed","Sat Dec 06 09:51:20 IST 2025","automation with  links","wwe\links.spec.js","",""
